interaction/schema/version,interaction/source,interaction/author/username,interaction/author/name,interaction/author/id,interaction/author/avatar,interaction/author/link,interaction/type,interaction/created_at,interaction/content,interaction/id,interaction/link,klout/score,language/tag,language/confidence,links/code/0,links/created_at/0,links/hops/0/0,links/normalized_url/0,links/retweet_count/0,links/title/0,links/url/0,twitter/created_at,twitter/domains/0,twitter/id,twitter/links/0,twitter/mention_ids/0,twitter/mentions/0,twitter/source,twitter/text,twitter/user/name,twitter/user/description,twitter/user/location,twitter/user/statuses_count,twitter/user/followers_count,twitter/user/friends_count,twitter/user/screen_name,twitter/user/profile_image_url,twitter/user/lang,twitter/user/id,twitter/user/id_str,twitter/user/created_at,twitter/user/url,twitter/in_reply_to_screen_name,twitter/in_reply_to_user_id,twitter/in_reply_to_status_id,salience/content/entities/0/name,salience/content/entities/0/type,salience/content/entities/0/label,salience/content/entities/0/sentiment,salience/content/entities/0/evidence,salience/content/entities/0/confident,salience/content/entities/0/about,salience/content/sentiment,twitter/user/time_zone,twitter/user/utc_offset,demographic/gender,twitter/user/listed_count,twitter/user/geo_enabled,salience/content/entities/0/themes/0,salience/content/entities/1/name,salience/content/entities/1/type,salience/content/entities/1/label,salience/content/entities/1/sentiment,salience/content/entities/1/evidence,salience/content/entities/1/confident,salience/content/entities/1/about,salience/content/entities/1/themes/0,salience/content/entities/2/name,salience/content/entities/2/type,salience/content/entities/2/label,salience/content/entities/2/sentiment,salience/content/entities/2/evidence,salience/content/entities/2/confident,salience/content/entities/2/about,salience/content/entities/2/themes/0,salience/content/entities/3/name,salience/content/entities/3/type,salience/content/entities/3/label,salience/content/entities/3/sentiment,salience/content/entities/3/evidence,salience/content/entities/3/confident,salience/content/entities/3/about,salience/content/entities/3/themes/0,twitter/retweet/text,twitter/retweet/id,twitter/retweet/user/name,twitter/retweet/user/url,twitter/retweet/user/description,twitter/retweet/user/location,twitter/retweet/user/statuses_count,twitter/retweet/user/followers_count,twitter/retweet/user/friends_count,twitter/retweet/user/screen_name,twitter/retweet/user/profile_image_url,twitter/retweet/user/lang,twitter/retweet/user/time_zone,twitter/retweet/user/utc_offset,twitter/retweet/user/listed_count,twitter/retweet/user/id,twitter/retweet/user/id_str,twitter/retweet/user/geo_enabled,twitter/retweet/user/created_at,twitter/retweet/source,twitter/retweet/count,twitter/retweet/created_at,twitter/retweet/hashtags/0,twitter/retweeted/id,twitter/retweeted/user/name,twitter/retweeted/user/url,twitter/retweeted/user/description,twitter/retweeted/user/location,twitter/retweeted/user/statuses_count,twitter/retweeted/user/followers_count,twitter/retweeted/user/friends_count,twitter/retweeted/user/screen_name,twitter/retweeted/user/profile_image_url,twitter/retweeted/user/lang,twitter/retweeted/user/time_zone,twitter/retweeted/user/utc_offset,twitter/retweeted/user/listed_count,twitter/retweeted/user/id,twitter/retweeted/user/id_str,twitter/retweeted/user/geo_enabled,twitter/retweeted/user/created_at,twitter/retweeted/source,twitter/retweeted/created_at,twitter/hashtags/0,salience/content/entities/4/name,salience/content/entities/4/type,salience/content/entities/4/label,salience/content/entities/4/sentiment,salience/content/entities/4/evidence,salience/content/entities/4/confident,salience/content/entities/4/about,salience/content/entities/5/name,salience/content/entities/5/type,salience/content/entities/5/label,salience/content/entities/5/sentiment,salience/content/entities/5/evidence,salience/content/entities/5/confident,salience/content/entities/5/about,salience/content/entities/6/name,salience/content/entities/6/type,salience/content/entities/6/label,salience/content/entities/6/sentiment,salience/content/entities/6/evidence,salience/content/entities/6/confident,salience/content/entities/6/about,salience/content/entities/7/name,salience/content/entities/7/type,salience/content/entities/7/label,salience/content/entities/7/sentiment,salience/content/entities/7/evidence,salience/content/entities/7/confident,salience/content/entities/7/about,salience/content/entities/8/name,salience/content/entities/8/type,salience/content/entities/8/label,salience/content/entities/8/sentiment,salience/content/entities/8/evidence,salience/content/entities/8/confident,salience/content/entities/8/about,salience/content/entities/9/name,salience/content/entities/9/type,salience/content/entities/9/label,salience/content/entities/9/sentiment,salience/content/entities/9/evidence,salience/content/entities/9/confident,salience/content/entities/9/about,salience/content/entities/10/name,salience/content/entities/10/type,salience/content/entities/10/label,salience/content/entities/10/sentiment,salience/content/entities/10/evidence,salience/content/entities/10/confident,salience/content/entities/10/about,facebook/application,facebook/author/name,facebook/author/id,facebook/author/link,facebook/author/avatar,facebook/id,facebook/message,facebook/source,facebook/type,twitter/retweet/mentions/0,twitter/retweet/mention_ids/0,interaction/geo/latitude,interaction/geo/longitude,twitter/geo/latitude,twitter/geo/longitude,twitter/place/id,twitter/place/url,twitter/place/place_type,twitter/place/country,twitter/place/country_code,twitter/place/full_name,twitter/place/name,twitter/retweeted/user/verified,salience/content/entities/0/themes/1,salience/content/entities/0/themes/2,salience/content/entities/0/themes/3,twitter/hashtags/1,twitter/hashtags/2,facebook/likes/count,facebook/likes/names/0,facebook/likes/ids/0,salience/content/entities/4/themes/0,salience/content/entities/5/themes/0,salience/content/entities/6/themes/0,salience/content/entities/7/themes/0,salience/content/entities/8/themes/0,salience/content/entities/9/themes/0,salience/content/entities/10/themes/0,twitter/retweet/links/0,twitter/retweet/domains/0,interaction/title,interaction/contenttype,salience/title/sentiment,youtube/created_at,youtube/id,youtube/author/name,youtube/author/link,youtube/content,youtube/title,youtube/contenttype,youtube/type,youtube/videolink,youtube/duration,youtube/category,twitter/retweet/hashtags/1,twitter/retweet/hashtags/2,twitter/retweet/hashtags/3,links/hops/0/1
3,Write Longer,Ancestor,Ancestor ,3294743,http://a0.twimg.com/profile_images/279760520/image_normal.jpg,http://twitter.com/ancestor,twitter,"Thu, 14 Feb 2013 15:48:27 +0000","Iya..km dmn? RT @henriquem: Td sore km dr situ ya mas,,,☺""AndiGigiShop: Yuk ah,tp jgn d pantaikartini ya (cont) http://t.co/SR4q33ea",1,http://twitter.com/ancestor/statuses/1,35,sw,62,200,"Thu, 14 Feb 2013 15:48:28 +0000",http://wl.gs/UyTFe,http://writelonger.com/show/UyTFe,0,"Iya..km dmn? RT @ceqospin_10: Td sore km dr situ ya mas,,,☺""AndiGigiShop: Yuk ah,tp jgn d pantaikartini ya (cont) http://wl.gs/UyTFe",http://www.writelonger.com/show/UyTFe,"Thu, 14 Feb 2013 15:48:27 +0000",wl.gs,1,http://wl.gs/UyTFe,4955920,henriquem,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>","Iya..km dmn? RT @henriquem: Td sore km dr situ ya mas,,,☺""AndiGigiShop: Yuk ah,tp jgn d pantaikartini ya (cont) http://t.co/SR4q33ea",Ancestor ,,Pengkol city,8341,90,225,Ancestor,http://a0.twimg.com/profile_images/279760520/image_normal.jpg,en,3294743,3294743,"Mon, 13 Feb 2012 01:04:24 +0000",http://ancestor.com,Henriquem,4955920,13444975251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CapturePlay Live,Ancestor,Ancestor ,5946906,http://a0.twimg.com/profile_images/827141902/image_normal.jpg,http://twitter.com/ancestor,twitter,"Thu, 14 Feb 2013 15:48:28 +0000",Tin Knight pieces purchased by ROBOT_Angelina in Chess,96613303991,http://twitter.com/ancestor/statuses/96613303991,23,en,100,,,,,,,,"Thu, 14 Feb 2013 15:48:28 +0000",,96613303991,,,,"<a href=""http://www.captureplay.com"" rel=""nofollow"">CapturePlay Live</a>",Tin Knight pieces purchased by ROBOT_Angelina in Chess,Ancestor ,,"Vancouver, BC",681646,248,9,Ancestor,http://a0.twimg.com/profile_images/827141902/image_normal.jpg,en,5946906,5946906,"Fri, 04 Feb 2011 21:40:33 +0000",http://ancestor.com,Lucy,1932366,70313742524,Tin Knight,Person,Person,0,1,1,1,0,Alaska,-32400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Echofon,Lizparris,Brandeis ,7436833,http://a0.twimg.com/profile_images/207396367/image_normal.jpg,http://twitter.com/lizparris,twitter,"Thu, 14 Feb 2013 15:48:28 +0000",That means I gotta go back to the bank,89994228933,http://twitter.com/lizparris/statuses/89994228933,33,en,100,,,,,,,,"Thu, 14 Feb 2013 15:48:28 +0000",,89994228933,,,,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",That means I gotta go back to the bank,Brandeis ,,Fighting crime,16027,643,567,Lizparris,http://a0.twimg.com/profile_images/207396367/image_normal.jpg,en,7436833,7436833,"Sat, 30 Apr 2011 14:39:11 +0000",http://lizparris.com,Carl,8050577,85532403434,,,,,,,,0,Central Time (US & Canada),-21600,mostly_male,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twitter for BlackBerry®,Ayesha,Ayesha ,8762418,http://a0.twimg.com/profile_images/685531746/image_normal.jpg,http://twitter.com/ayesha,twitter,"Thu, 14 Feb 2013 15:48:28 +0000","Galau no wkwk ""@elizabethblis: Qe knp.td kyk ngambek2 gt ? ""@: udh qaqa panitia RT @elizabethblis: Sn""",80879172985,http://twitter.com/ayesha/statuses/80879172985,41,id,62,,,,,,,,"Thu, 14 Feb 2013 15:48:28 +0000",,80879172985,,2735425,elizabethblis,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Galau no wkwk ""@elizabethblis: Qe knp.td kyk ngambek2 gt ? ""@: udh qaqa panitia RT @elizabethblis: Sn""",Ayesha ,,,12852,280,340,Ayesha,http://a0.twimg.com/profile_images/685531746/image_normal.jpg,en,8762418,8762418,"Sat, 30 Jun 2012 09:56:58 +0000",http://ayesha.com,Elizabethblis,2735425,70278887613,,,,,,,,,Beijing,28800,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Write Longer,Marius,Boudreaux ,9389848,http://a0.twimg.com/profile_images/510546612/image_normal.jpg,http://twitter.com/marius,twitter,"Thu, 14 Feb 2013 15:48:28 +0000","haha taulah awak bes udah pernah ngerasain kok:DRT @mrs.: Bpaku fine*.a bes , opku agak kepo (cont) http://t.co/i0UmmtTL",52071150229,http://twitter.com/marius/statuses/52071150229,38,id,100,200,"Thu, 14 Feb 2013 15:48:28 +0000",http://wl.gs/vyTFe,http://writelonger.com/show/vyTFe,0,"haha taulah awak bes udah pernah ngerasain kok:DRT @miselpoerbah: Bpaku fine*.a bes , opku agak kepo (cont) http://wl.gs/vyTFe",http://www.writelonger.com/show/vyTFe,"Thu, 14 Feb 2013 15:48:28 +0000",wl.gs,52071150229,http://wl.gs/vyTFe,1666750,mrs.,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>","haha taulah awak bes udah pernah ngerasain kok:DRT @mrs.: Bpaku fine*.a bes , opku agak kepo (cont) http://t.co/i0UmmtTL",Boudreaux ,,Pematangsiantar,11091,332,182,Marius,http://a0.twimg.com/profile_images/510546612/image_normal.jpg,en,9389848,9389848,"Mon, 30 Jan 2012 14:18:45 +0000",http://marius.com,Mrs.,1666750,94861468463,,,,,,,,,Pacific Time (US & Canada),-28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twitter for BlackBerry®,Beastdoppelganger,Beast Doppelganger ,5740290,http://a0.twimg.com/profile_images/437697541/image_normal.jpg,http://twitter.com/beastdoppelganger,twitter,"Thu, 14 Feb 2013 15:48:28 +0000",Kode pisan eta mah haha RT @bullseye: Sakaliii pan ngomongkeun sawo td hahaha RT tatarestania: Stoooooopp haha RT @bullseye: Njir ngakaaaa,68120102537,http://twitter.com/beastdoppelganger/statuses/68120102537,40,,,,,,,,,,"Thu, 14 Feb 2013 15:48:28 +0000",,68120102537,,6965941,bullseye,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",Kode pisan eta mah haha RT @bullseye: Sakaliii pan ngomongkeun sawo td hahaha RT tatarestania: Stoooooopp haha RT @bullseye: Njir ngakaaaa,Beast Doppelganger ,,,24529,524,250,Beastdoppelganger,http://a0.twimg.com/profile_images/437697541/image_normal.jpg,en,5740290,5740290,"Wed, 22 Sep 2010 08:28:44 +0000",http://beastdoppelganger.com,Bullseye,6965941,48098267009,,,,,,,,0,Pacific Time (US & Canada),-28800,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Echofon,Agent,Billups ,20235,http://a0.twimg.com/profile_images/621444315/image_normal.jpg,http://twitter.com/agent,twitter,"Thu, 14 Feb 2013 15:48:28 +0000","RT @IndoStevieG: Liverpool's starting line-up: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, ...",33606158895,http://twitter.com/agent/statuses/33606158895,44,en,62,,,,,,,,,,33606158895,,,,,,,,,,,,,,,,,,,Belladonna,2001554,20633504143,Reina,Person,Person,0,1,1,1,0,,,,,,starting line,Johnson,Person,Person,0,1,1,1,starting line,Enrique,Person,Person,0,1,1,1,starting line,Carragher,Person,Person,0,1,1,1,starting line,"Liverpool's starting line-up: Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez. #YNWA",302081883880173568,G,http://megaloblast.blogspot.com/,ini mah twitter doang perasaan mah laen lagi,Bandung // Indon,22677,319,245,PRTMAGABO,http://a0.twimg.com/profile_images/3247441095/44b010ca49cd9d2a23b73992911df601_normal.jpeg,en,Pacific Time (US & Canada),-28800,1,150558992,150558992,true,"Tue, 01 Jun 2010 06:54:44 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",21,"Thu, 14 Feb 2013 15:48:28 +0000",YNWA,302081055475769344,Gerrard Indonesia,http://stevengerrardindonesia.blogspot.com/,Indonesia's fanbase for #LFC & England's legendary player Steven Gerrard. We present you news about Stevie G & the team. We're #Gerrarddicted! Follow @SGF08!,Gerrard's Heart,45178,20359,422,IndoStevieG,http://a0.twimg.com/profile_images/3204278360/fec583cdd761bbac366735ba0e3aace3_normal.jpeg,en,Jakarta,25200,148,174535162,174535162,true,"Wed, 04 Aug 2010 04:37:18 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Thu, 14 Feb 2013 15:45:10 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,web,Balder[asgardian],Balder [asgardian] ,8338451,http://a0.twimg.com/profile_images/813945991/image_normal.jpg,http://twitter.com/balder[asgardian],twitter,"Thu, 14 Feb 2013 15:48:28 +0000","@dr.rory tutti pacchi raccomandati della politica,andranno a far compagnia a quelli del MPS",80352213419,http://twitter.com/balder[asgardian]/statuses/80352213419,31,it,100,,,,,,,,"Thu, 14 Feb 2013 15:48:28 +0000",,80352213419,,5972633,dr.rory,web,"@dr.rory tutti pacchi raccomandati della politica,andranno a far compagnia a quelli del MPS",Balder [asgardian] ,,napoli,547,52,127,Balder[asgardian],http://a0.twimg.com/profile_images/813945991/image_normal.jpg,it,8338451,8338451,"Mon, 27 Feb 2012 21:38:12 +0000",http://balder[asgardian].com,Dr.rory,5972633,89808321930,,,,,,,,,,,male,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TweetCaster for Android,Lizparris,Brandeis ,8476593,http://a0.twimg.com/profile_images/395135112/image_normal.jpg,http://twitter.com/lizparris,twitter,"Thu, 14 Feb 2013 15:48:28 +0000",masak sih bu dosen? :'( RT @mr.: @ met istirahat cantik.. Km td ndak tau btapa bingungny @ saat km pingsan,40708843688,http://twitter.com/lizparris/statuses/40708843688,40,id,100,,,,,,,,"Thu, 14 Feb 2013 15:48:28 +0000",,40708843688,,9554764,mr.,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",masak sih bu dosen? :'( RT @mr.: @ met istirahat cantik.. Km td ndak tau btapa bingungny @ saat km pingsan,Brandeis ,,surabaya,1119,96,109,Lizparris,http://a0.twimg.com/profile_images/395135112/image_normal.jpg,en,8476593,8476593,"Tue, 24 Jul 2012 13:17:49 +0000",http://lizparris.com,Mr.,9554764,59956970158,,,,,,,,,Jakarta,25200,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Samsung Mobile,Carter,Blaire ,8397873,http://a0.twimg.com/profile_images/143842308/image_normal.jpg,http://twitter.com/carter,twitter,"Thu, 14 Feb 2013 15:48:28 +0000",@bi-beast td bem??,12152655306,http://twitter.com/carter/statuses/12152655306,39,,,,,,,,,,"Thu, 14 Feb 2013 15:48:28 +0000",,12152655306,,5002361,bi-beast,"<a href=""http://www.samsungmobile.com"" rel=""nofollow"">Samsung Mobile</a>",@bi-beast td bem??,Blaire ,,,1093,87,157,Carter,http://a0.twimg.com/profile_images/143842308/image_normal.jpg,pt,8397873,8397873,"Mon, 19 Nov 2012 20:54:50 +0000",http://carter.com,Bi-beast,5002361,27710811770,,,,,,,,0,,,female,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
